@relation acc
@attribute lat numeric
@attribute lon numeric
@attribute airtemp numeric
@attribute groundtemp numeric
@attribute hours numeric
@attribute acc {Y, N}
@data
47.693325,-122.35667,67.32, 72.63,10, Y 
47.6323,-122.345955,54.45, 55.52,11, Y 
47.65198,-122.36597,52.11, 54.28,12, Y 
47.602654,-122.29677,52.26, 54.76,12, Y 
47.669426,-122.3608,31.23, 30.58,2, Y 
47.647778,-122.36073,60.44, 68.82,8, Y 
47.663754,-122.29015,61.94, 72.14,5, Y 
47.623947,-122.28815,60.42, 69.32,5, Y 
47.706898,-122.35547,62.97, 70.17,7, Y 
47.61726,-122.30614,60.04, 64.03,11, Y 
47.613342,-122.338524,46.37, 49.18,6, Y 
47.63995,-122.34428,41.21, 41.42,11, Y 
47.72321,-122.34498,39.23, 38.67,9, Y 
47.59031,-122.33326,69.61, 77.25,6, Y 
47.639553,-122.31727,63.57, 72.31,7, Y 
47.623272,-122.355415,53.85, 65.40,1, Y 
47.573563,-122.30067,68.49, 75.73,8, Y 
47.661175,-122.28821,54.23, 56.92,12, Y 
47.597603,-122.32897,69.45, 81.49,1, Y 
47.606018,-122.32365,65.10, 75.30,10, Y 
47.62135,-122.297264,64.61, 73.81,9, Y 
47.612175,-122.319374,65.06, 75.10,10, Y 
47.570675,-122.28827,70.49, 83.44,12, Y 
47.548267,-122.33431,59.95, 62.81,9, Y 
47.650517,-122.3221,70.81, 79.93,12, Y 
47.583977,-122.3342,62.50, 68.75,8, Y 
47.690228,-122.32932,70.98, 76.32,10, Y 
47.62454,-122.33429,53.00, 52.60,10, Y 
47.5992,-122.31568,65.05, 73.45,12, Y 
47.619152,-122.34631,66.37, 77.14,6, Y 
47.611477,-122.327095,65.47, 69.88,11, Y 
47.565052,-122.37611,55.96, 55.71,4, Y 
47.5626,-122.31481,61.84, -101.67,10, Y 
47.61919,-122.35675,49.92, 50.79,12, Y 
47.667892,-122.37889,66.31, 72.26,10, Y 
47.548267,-122.33431,61.83, 69.29,8, Y 
47.55124,-122.287926,61.94, 71.90,7, Y 
47.598347,-122.32245,67.07, 79.15,11, Y 
47.71299,-122.29895,45.75, 44.96,8, Y 
47.617355,-122.345314,55.19, 58.78,1, Y 
47.601696,-122.317825,32.11, 28.54,11, Y 
47.580254,-122.38658,49.21, 48.14,7, Y 
47.545593,-122.37642,69.47, 71.89,12, Y 
47.675983,-122.36603,42.30, 41.62,8, Y 
47.538914,-122.293755,66.34, 71.89,12, Y 
47.572258,-122.309425,53.58, 53.11,9, Y 
47.57835,-122.29816,60.01, 64.41,11, Y 
47.584545,-122.31338,59.95, 63.18,10, Y 
47.69425,-122.375916,59.25, 62.04,10, Y 
47.66643,-122.37359,51.41, 52.88,8, Y 
47.571404,-122.3435,46.64, 45.82,2, Y 
47.61669,-122.346176,55.70, 59.80,2, Y 
47.662125,-122.337685,60.32, 65.38,12, Y 
47.606625,-122.32156,61.06, 67.17,12, Y 
47.60269,-122.32075,46.74, 45.54,7, Y 
47.594357,-122.31036,65.43, 71.05,8, Y 
47.55741,-122.33421,40.45, 40.46,12, Y 
47.572083,-122.371994,37.67, 38.55,11, Y 
47.529045,-122.29596,66.43, 71.84,12, Y 
47.67272,-122.37358,46.56, 45.91,10, Y 
47.595528,-122.29758,60.11, 64.40,11, Y 
47.708595,-122.32328,39.59, 39.51,12, Y 
47.619617,-122.32658,40.19, 40.23,12, Y 
47.612938,-122.296196,46.37, 45.30,8, Y 
47.61002,-122.300156,70.16, 83.55,12, Y 
47.61758,-122.35165,66.05, 73.47,11, Y 
47.618607,-122.35676,66.17, 72.15,10, Y 
